algorithm,language,sample,time
quick,lua,0,0.013502
quick,lua,1,0.013644
quick,lua,2,0.013615
quick,lua,3,0.013526
quick,lua,4,0.013815
quick,lua,5,0.013527
quick,lua,6,0.013457
quick,lua,7,0.013345
quick,lua,8,0.013493
quick,lua,9,0.013448
quick,lua,10,0.013612
quick,lua,11,0.013543
quick,lua,12,0.013666
quick,lua,13,0.013535
quick,lua,14,0.013740
quick,lua,15,0.013527
quick,lua,16,0.013393
quick,lua,17,0.013473
quick,lua,18,0.013446
quick,lua,19,0.013394
quick,lua,20,0.013540
quick,lua,21,0.013331
quick,lua,22,0.013619
quick,lua,23,0.013534
quick,lua,24,0.013540
quick,lua,25,0.013605
quick,lua,26,0.013521
quick,lua,27,0.013483
quick,lua,28,0.013577
quick,lua,29,0.013497
quick,lua,30,0.013450
quick,lua,31,0.013515
quick,lua,32,0.013684
quick,lua,33,0.013444
quick,lua,34,0.013543
quick,lua,35,0.013474
quick,lua,36,0.013772
quick,lua,37,0.013475
quick,lua,38,0.013684
quick,lua,39,0.013819
quick,lua,40,0.015733
quick,lua,41,0.013670
quick,lua,42,0.013518
quick,lua,43,0.013863
quick,lua,44,0.013385
quick,lua,45,0.013514
quick,lua,46,0.013594
quick,lua,47,0.013579
quick,lua,48,0.013373
quick,lua,49,0.013697
quick,lua,50,0.013649
quick,lua,51,0.013636
quick,lua,52,0.013515
quick,lua,53,0.013438
quick,lua,54,0.013428
quick,lua,55,0.015321
quick,lua,56,0.013611
quick,lua,57,0.013657
quick,lua,58,0.013559
quick,lua,59,0.013403
quick,lua,60,0.013859
quick,lua,61,0.013503
quick,lua,62,0.013557
quick,lua,63,0.013440
quick,lua,64,0.013609
quick,lua,65,0.014355
quick,lua,66,0.013476
quick,lua,67,0.013473
quick,lua,68,0.013470
quick,lua,69,0.013426
quick,lua,70,0.013410
quick,lua,71,0.013405
quick,lua,72,0.013651
quick,lua,73,0.013451
quick,lua,74,0.013705
quick,lua,75,0.013549
quick,lua,76,0.013850
quick,lua,77,0.013971
quick,lua,78,0.013414
quick,lua,79,0.013533
quick,lua,80,0.013494
quick,lua,81,0.013524
quick,lua,82,0.013469
quick,lua,83,0.013936
quick,lua,84,0.013675
quick,lua,85,0.013535
quick,lua,86,0.013572
quick,lua,87,0.013530
quick,lua,88,0.013619
quick,lua,89,0.013594
quick,lua,90,0.013385
quick,lua,91,0.013641
quick,lua,92,0.013410
quick,lua,93,0.013425
quick,lua,94,0.013719
quick,lua,95,0.013625
quick,lua,96,0.013415
quick,lua,97,0.013528
quick,lua,98,0.013614
quick,lua,99,0.013467
heap,lua,0,0.018178
heap,lua,1,0.018178
heap,lua,2,0.018174
heap,lua,3,0.018299
heap,lua,4,0.018244
heap,lua,5,0.018198
heap,lua,6,0.018214
heap,lua,7,0.018191
heap,lua,8,0.018186
heap,lua,9,0.020639
heap,lua,10,0.026722
heap,lua,11,0.018349
heap,lua,12,0.018255
heap,lua,13,0.018296
heap,lua,14,0.018432
heap,lua,15,0.018356
heap,lua,16,0.020779
heap,lua,17,0.018215
heap,lua,18,0.018210
heap,lua,19,0.018245
heap,lua,20,0.018220
heap,lua,21,0.018231
heap,lua,22,0.018190
heap,lua,23,0.018245
heap,lua,24,0.018279
heap,lua,25,0.018280
heap,lua,26,0.018212
heap,lua,27,0.018228
heap,lua,28,0.018277
heap,lua,29,0.018190
heap,lua,30,0.018263
heap,lua,31,0.018200
heap,lua,32,0.018192
heap,lua,33,0.018470
heap,lua,34,0.018188
heap,lua,35,0.018191
heap,lua,36,0.018224
heap,lua,37,0.018190
heap,lua,38,0.018190
heap,lua,39,0.018488
heap,lua,40,0.018186
heap,lua,41,0.018275
heap,lua,42,0.018191
heap,lua,43,0.018191
heap,lua,44,0.018213
heap,lua,45,0.018180
heap,lua,46,0.018201
heap,lua,47,0.018418
heap,lua,48,0.018192
heap,lua,49,0.018184
heap,lua,50,0.018219
heap,lua,51,0.018218
heap,lua,52,0.018518
heap,lua,53,0.018243
heap,lua,54,0.018191
heap,lua,55,0.018223
heap,lua,56,0.018199
heap,lua,57,0.018223
heap,lua,58,0.018253
heap,lua,59,0.018183
heap,lua,60,0.018196
heap,lua,61,0.018193
heap,lua,62,0.018197
heap,lua,63,0.018196
heap,lua,64,0.018223
heap,lua,65,0.018197
heap,lua,66,0.018197
heap,lua,67,0.018185
heap,lua,68,0.018201
heap,lua,69,0.018231
heap,lua,70,0.018215
heap,lua,71,0.018189
heap,lua,72,0.018184
heap,lua,73,0.018189
heap,lua,74,0.018206
heap,lua,75,0.018225
heap,lua,76,0.018181
heap,lua,77,0.018195
heap,lua,78,0.018341
heap,lua,79,0.018606
heap,lua,80,0.018851
heap,lua,81,0.018298
heap,lua,82,0.018920
heap,lua,83,0.018676
heap,lua,84,0.018421
heap,lua,85,0.018623
heap,lua,86,0.018209
heap,lua,87,0.018196
heap,lua,88,0.018198
heap,lua,89,0.018235
heap,lua,90,0.018230
heap,lua,91,0.018197
heap,lua,92,0.018201
heap,lua,93,0.018196
heap,lua,94,0.018198
heap,lua,95,0.018201
heap,lua,96,0.018195
heap,lua,97,0.018231
heap,lua,98,0.018196
heap,lua,99,0.018222
radixlsd,lua,0,0.030682
radixlsd,lua,1,0.030955
radixlsd,lua,2,0.031647
radixlsd,lua,3,0.030934
radixlsd,lua,4,0.030182
radixlsd,lua,5,0.032555
radixlsd,lua,6,0.030087
radixlsd,lua,7,0.030841
radixlsd,lua,8,0.030176
radixlsd,lua,9,0.030116
radixlsd,lua,10,0.030089
radixlsd,lua,11,0.031668
radixlsd,lua,12,0.030897
radixlsd,lua,13,0.030168
radixlsd,lua,14,0.030182
radixlsd,lua,15,0.030159
radixlsd,lua,16,0.030197
radixlsd,lua,17,0.032606
radixlsd,lua,18,0.030604
radixlsd,lua,19,0.030103
radixlsd,lua,20,0.030089
radixlsd,lua,21,0.030131
radixlsd,lua,22,0.030097
radixlsd,lua,23,0.032594
radixlsd,lua,24,0.030148
radixlsd,lua,25,0.030155
radixlsd,lua,26,0.032636
radixlsd,lua,27,0.030439
radixlsd,lua,28,0.033023
radixlsd,lua,29,0.030123
radixlsd,lua,30,0.030088
radixlsd,lua,31,0.030112
radixlsd,lua,32,0.030192
radixlsd,lua,33,0.030050
radixlsd,lua,34,0.030048
radixlsd,lua,35,0.030064
radixlsd,lua,36,0.030137
radixlsd,lua,37,0.032610
radixlsd,lua,38,0.030796
radixlsd,lua,39,0.032657
radixlsd,lua,40,0.030188
radixlsd,lua,41,0.030121
radixlsd,lua,42,0.030164
radixlsd,lua,43,0.030098
radixlsd,lua,44,0.030117
radixlsd,lua,45,0.030139
radixlsd,lua,46,0.030181
radixlsd,lua,47,0.030113
radixlsd,lua,48,0.032492
radixlsd,lua,49,0.030089
radixlsd,lua,50,0.030147
radixlsd,lua,51,0.030163
radixlsd,lua,52,0.032745
radixlsd,lua,53,0.031852
radixlsd,lua,54,0.030048
radixlsd,lua,55,0.030120
radixlsd,lua,56,0.030077
radixlsd,lua,57,0.030315
radixlsd,lua,58,0.030040
radixlsd,lua,59,0.032409
radixlsd,lua,60,0.030246
radixlsd,lua,61,0.030134
radixlsd,lua,62,0.030087
radixlsd,lua,63,0.041537
radixlsd,lua,64,0.030180
radixlsd,lua,65,0.030107
radixlsd,lua,66,0.030067
radixlsd,lua,67,0.030084
radixlsd,lua,68,0.030100
radixlsd,lua,69,0.030170
radixlsd,lua,70,0.030091
radixlsd,lua,71,0.030054
radixlsd,lua,72,0.030123
radixlsd,lua,73,0.030060
radixlsd,lua,74,0.030549
radixlsd,lua,75,0.032428
radixlsd,lua,76,0.033087
radixlsd,lua,77,0.032671
radixlsd,lua,78,0.032724
radixlsd,lua,79,0.033067
radixlsd,lua,80,0.034027
radixlsd,lua,81,0.033849
radixlsd,lua,82,0.033724
radixlsd,lua,83,0.033517
radixlsd,lua,84,0.033288
radixlsd,lua,85,0.033173
radixlsd,lua,86,0.033568
radixlsd,lua,87,0.030560
radixlsd,lua,88,0.029903
radixlsd,lua,89,0.029922
radixlsd,lua,90,0.029999
radixlsd,lua,91,0.029965
radixlsd,lua,92,0.030000
radixlsd,lua,93,0.029901
radixlsd,lua,94,0.029918
radixlsd,lua,95,0.032882
radixlsd,lua,96,0.030015
radixlsd,lua,97,0.032518
radixlsd,lua,98,0.030022
radixlsd,lua,99,0.029975
radixmsd,lua,0,0.013636
radixmsd,lua,1,0.013624
radixmsd,lua,2,0.013615
radixmsd,lua,3,0.013602
radixmsd,lua,4,0.013748
radixmsd,lua,5,0.013616
radixmsd,lua,6,0.013664
radixmsd,lua,7,0.013662
radixmsd,lua,8,0.013624
radixmsd,lua,9,0.015917
radixmsd,lua,10,0.013570
radixmsd,lua,11,0.013629
radixmsd,lua,12,0.013642
radixmsd,lua,13,0.013634
radixmsd,lua,14,0.014019
radixmsd,lua,15,0.013670
radixmsd,lua,16,0.013683
radixmsd,lua,17,0.013697
radixmsd,lua,18,0.014549
radixmsd,lua,19,0.014989
radixmsd,lua,20,0.013600
radixmsd,lua,21,0.013917
radixmsd,lua,22,0.013669
radixmsd,lua,23,0.013599
radixmsd,lua,24,0.013654
radixmsd,lua,25,0.013677
radixmsd,lua,26,0.013671
radixmsd,lua,27,0.013603
radixmsd,lua,28,0.013605
radixmsd,lua,29,0.013649
radixmsd,lua,30,0.013646
radixmsd,lua,31,0.013665
radixmsd,lua,32,0.013633
radixmsd,lua,33,0.015948
radixmsd,lua,34,0.014657
radixmsd,lua,35,0.013678
radixmsd,lua,36,0.013622
radixmsd,lua,37,0.013672
