algorithm,language,sample,time
quick,python,0,0.03694891929626465
quick,python,1,0.03959512710571289
quick,python,2,0.03780508041381836
quick,python,3,0.03761887550354004
quick,python,4,0.0379641056060791
quick,python,5,0.039691925048828125
quick,python,6,0.03674936294555664
quick,python,7,0.03854799270629883
quick,python,8,0.03877401351928711
quick,python,9,0.036957740783691406
quick,python,10,0.039675235748291016
quick,python,11,0.03736257553100586
quick,python,12,0.04265189170837402
quick,python,13,0.037282466888427734
quick,python,14,0.0403439998626709
quick,python,15,0.037061452865600586
quick,python,16,0.03652358055114746
quick,python,17,0.0368189811706543
quick,python,18,0.03660416603088379
quick,python,19,0.03915214538574219
quick,python,20,0.03724813461303711
quick,python,21,0.039014339447021484
quick,python,22,0.03746962547302246
quick,python,23,0.038007497787475586
quick,python,24,0.03708148002624512
quick,python,25,0.037326812744140625
quick,python,26,0.037184953689575195
quick,python,27,0.039539337158203125
quick,python,28,0.03750967979431152
quick,python,29,0.0367884635925293
quick,python,30,0.03958773612976074
quick,python,31,0.03709602355957031
quick,python,32,0.03661704063415527
quick,python,33,0.03737807273864746
quick,python,34,0.037290096282958984
quick,python,35,0.03691530227661133
quick,python,36,0.03826093673706055
quick,python,37,0.03705453872680664
quick,python,38,0.04738759994506836
quick,python,39,0.044682979583740234
quick,python,40,0.03795313835144043
quick,python,41,0.037856340408325195
quick,python,42,0.03688478469848633
quick,python,43,0.03832411766052246
quick,python,44,0.03664112091064453
quick,python,45,0.0372166633605957
quick,python,46,0.037485361099243164
quick,python,47,0.03700542449951172
quick,python,48,0.03656339645385742
quick,python,49,0.03806924819946289
quick,python,50,0.037627458572387695
quick,python,51,0.03749370574951172
quick,python,52,0.03711080551147461
quick,python,53,0.037462472915649414
quick,python,54,0.03696727752685547
quick,python,55,0.03797268867492676
quick,python,56,0.03720569610595703
quick,python,57,0.040265798568725586
quick,python,58,0.036801815032958984
quick,python,59,0.03682231903076172
quick,python,60,0.03703880310058594
quick,python,61,0.03699374198913574
quick,python,62,0.0394740104675293
quick,python,63,0.03693389892578125
quick,python,64,0.039961814880371094
quick,python,65,0.03976798057556152
quick,python,66,0.03945446014404297
quick,python,67,0.03681015968322754
quick,python,68,0.03684663772583008
quick,python,69,0.036583662033081055
quick,python,70,0.03845334053039551
quick,python,71,0.037920236587524414
quick,python,72,0.03740668296813965
quick,python,73,0.03716135025024414
quick,python,74,0.0377812385559082
quick,python,75,0.03732657432556152
quick,python,76,0.0374603271484375
quick,python,77,0.03894996643066406
quick,python,78,0.037592172622680664
quick,python,79,0.03713583946228027
quick,python,80,0.03667402267456055
quick,python,81,0.03700399398803711
quick,python,82,0.03688764572143555
quick,python,83,0.0383913516998291
quick,python,84,0.03699851036071777
quick,python,85,0.037169456481933594
quick,python,86,0.037842750549316406
quick,python,87,0.03771638870239258
quick,python,88,0.0374608039855957
quick,python,89,0.03697514533996582
quick,python,90,0.0366213321685791
quick,python,91,0.03757071495056152
quick,python,92,0.03666067123413086
quick,python,93,0.03706955909729004
quick,python,94,0.03778576850891113
quick,python,95,0.040187835693359375
quick,python,96,0.03662276268005371
quick,python,97,0.03735852241516113
quick,python,98,0.03745007514953613
quick,python,99,0.036817073822021484
heap,python,0,0.058592796325683594
heap,python,1,0.058580875396728516
heap,python,2,0.05979275703430176
heap,python,3,0.05854940414428711
heap,python,4,0.05825185775756836
heap,python,5,0.059126853942871094
heap,python,6,0.05838513374328613
heap,python,7,0.058307647705078125
heap,python,8,0.058519840240478516
heap,python,9,0.05830216407775879
heap,python,10,0.0581967830657959
heap,python,11,0.061064958572387695
heap,python,12,0.060220956802368164
heap,python,13,0.07872414588928223
heap,python,14,0.058184146881103516
heap,python,15,0.05802798271179199
heap,python,16,0.05863761901855469
heap,python,17,0.05823349952697754
heap,python,18,0.05804133415222168
heap,python,19,0.05884361267089844
heap,python,20,0.05914759635925293
heap,python,21,0.05989956855773926
heap,python,22,0.06083250045776367
heap,python,23,0.05797219276428223
heap,python,24,0.05817842483520508
heap,python,25,0.06061267852783203
heap,python,26,0.05903911590576172
heap,python,27,0.06071972846984863
heap,python,28,0.0581662654876709
heap,python,29,0.05819869041442871
heap,python,30,0.06069469451904297
heap,python,31,0.059078216552734375
heap,python,32,0.059468746185302734
heap,python,33,0.05825185775756836
heap,python,34,0.05783677101135254
heap,python,35,0.05784749984741211
heap,python,36,0.05793046951293945
heap,python,37,0.060500383377075195
heap,python,38,0.0586698055267334
heap,python,39,0.058222293853759766
heap,python,40,0.05850958824157715
heap,python,41,0.05810809135437012
heap,python,42,0.059824228286743164
heap,python,43,0.05783796310424805
heap,python,44,0.057993412017822266
heap,python,45,0.05794191360473633
heap,python,46,0.05794715881347656
heap,python,47,0.05784964561462402
heap,python,48,0.05785083770751953
heap,python,49,0.05805706977844238
heap,python,50,0.058036088943481445
heap,python,51,0.05784916877746582
heap,python,52,0.059499502182006836
heap,python,53,0.05850982666015625
heap,python,54,0.06009507179260254
heap,python,55,0.05862712860107422
heap,python,56,0.05814075469970703
heap,python,57,0.05800366401672363
heap,python,58,0.058025360107421875
heap,python,59,0.05872058868408203
heap,python,60,0.06942296028137207
heap,python,61,0.05832362174987793
heap,python,62,0.059246063232421875
heap,python,63,0.05847573280334473
heap,python,64,0.05776262283325195
heap,python,65,0.05803728103637695
heap,python,66,0.05788064002990723
heap,python,67,0.058238983154296875
heap,python,68,0.05779314041137695
heap,python,69,0.057897090911865234
heap,python,70,0.05800008773803711
heap,python,71,0.057910919189453125
heap,python,72,0.06154966354370117
heap,python,73,0.06302928924560547
heap,python,74,0.06160616874694824
heap,python,75,0.05866432189941406
heap,python,76,0.05841708183288574
heap,python,77,0.05841660499572754
heap,python,78,0.061095476150512695
heap,python,79,0.058370351791381836
heap,python,80,0.060727596282958984
heap,python,81,0.05838799476623535
heap,python,82,0.05803942680358887
heap,python,83,0.061705589294433594
heap,python,84,0.058187007904052734
heap,python,85,0.05790853500366211
heap,python,86,0.05791521072387695
heap,python,87,0.058319807052612305
heap,python,88,0.06044745445251465
heap,python,89,0.0581967830657959
heap,python,90,0.05806469917297363
heap,python,91,0.05794477462768555
heap,python,92,0.05865812301635742
heap,python,93,0.059438228607177734
heap,python,94,0.0579981803894043
heap,python,95,0.05801033973693848
heap,python,96,0.058164358139038086
heap,python,97,0.058176517486572266
heap,python,98,0.058068275451660156
heap,python,99,0.058133602142333984
radixlsd,python,0,0.07210755348205566
radixlsd,python,1,0.07448124885559082
radixlsd,python,2,0.07175660133361816
radixlsd,python,3,0.07184767723083496
radixlsd,python,4,0.07305431365966797
radixlsd,python,5,0.07189726829528809
radixlsd,python,6,0.07189130783081055
radixlsd,python,7,0.07180166244506836
radixlsd,python,8,0.07347965240478516
radixlsd,python,9,0.07379865646362305
radixlsd,python,10,0.0861349105834961
radixlsd,python,11,0.07192063331604004
radixlsd,python,12,0.071533203125
radixlsd,python,13,0.07162666320800781
radixlsd,python,14,0.07219958305358887
radixlsd,python,15,0.07147932052612305
